loss,mean_squared_error,mean_absolute_error,r_square
8.672111,8.672111,1.9187195,0.09863567
8.148279,8.148279,2.1489592,0.10358423
3.5181808,3.5181808,1.4629917,0.2664188
4.620058,4.620058,1.7037826,-0.33529198
3.5520167,3.5520167,1.4813534,0.12037116
6.89391,6.89391,2.1733732,-0.031015635
3.1929004,3.1929004,1.4230416,-0.5136713
6.386757,6.386757,1.7662903,0.14920789
4.791472,4.791472,1.5071454,0.22697592
11.103969,11.103969,2.2120423,0.057409942
8.341419,8.341419,2.1646156,-0.03912568
6.8095694,6.8095694,2.102062,0.035813212
8.040594,8.040594,1.8425412,-0.009139419
6.0332475,6.0332475,1.7112286,0.1414612
5.265028,5.265028,1.8111792,-0.17844558
3.4729037,3.4729037,1.5429661,0.043760836
4.206687,4.206687,1.5337075,-0.28241956
3.4666858,3.4666858,1.5062768,-0.40924418
6.783188,6.783188,1.9052675,0.111198425
8.581291,8.581291,2.1334288,0.07851905
7.656514,7.656514,2.0250483,0.06918311
8.716195,8.716195,1.8520653,0.16363227
5.9000597,5.9000597,1.9261957,0.1781171
8.154009,8.154009,1.9850205,0.10784215
12.122557,12.122557,2.5298605,-0.06902325
3.0290155,3.0290155,1.3122402,0.13625401
10.398348,10.398348,2.304266,0.090544224
3.3587265,3.3587265,1.5249023,-0.48824573
5.5644064,5.5644064,1.8471968,0.20464098
6.1863985,6.1863985,1.8287836,0.091383815
7.719798,7.719798,1.9745793,0.085060954
4.090312,4.090312,1.6012964,0.08787465
3.8303862,3.8303862,1.5754539,-0.26403975
7.016791,7.016791,1.9269549,0.11501491
5.2997684,5.2997684,1.5001941,0.22831297
7.135597,7.135597,1.8867333,0.022102296
7.754752,7.754752,1.7632815,0.18829948
3.594739,3.594739,1.4324288,-0.10111058
7.8276405,7.8276405,1.7800593,0.013840556
7.1424646,7.1424646,1.865396,0.19486088
6.8825006,6.8825006,1.9508884,0.16851336
5.64617,5.64617,1.726652,0.056360662
4.756228,4.756228,1.705895,-0.018055439
4.5149527,4.5149527,1.8273382,-0.17492032
10.172802,10.172802,2.4290917,0.11269599
4.930588,4.930588,1.7952813,-0.14358366
8.420544,8.420544,2.2340088,0.17526191
4.62475,4.62475,1.6673923,-0.019298434
3.553163,3.553163,1.3234653,0.35212982
6.857895,6.857895,1.953645,0.04156077
4.116001,4.116001,1.6747289,-0.10798764
5.781801,5.781801,1.5417355,0.17724228
8.605776,8.605776,2.0219083,0.047832012
6.453342,6.453342,1.821125,-0.007965565
7.8115807,7.8115807,1.9528031,0.07030934
4.3654127,4.3654127,1.7437571,0.17448151
6.44793,6.44793,2.0982695,0.021535218
8.427641,8.427641,2.2970161,0.0885188
4.582144,4.582144,1.6377238,0.0833922
7.293537,7.293537,2.0566058,0.07187992
8.424308,8.424308,1.8367051,0.24951875
5.328811,5.328811,1.6986868,-0.012187481
4.699867,4.699867,1.816025,0.028921783
8.947395,8.947395,1.8251014,0.07779235
6.954087,6.954087,1.9613112,-0.058567643
4.81824,4.81824,1.5613565,0.19473183
8.60022,8.60022,2.145125,4.2557716e-05
5.3796377,5.3796377,1.6638002,0.08370775
6.080697,6.080697,1.7336107,0.15947169
9.124144,9.124144,2.058419,0.03708923
